PLAYER,MATCHES,MATCHES,INNS,RUNS,H.S,100s
Virat,Kohli,292,280,"13,848",183,50
Sachin,Tendulkar,463,452,"18,426",200,49
Rohit,Sharma,262,254,"10,709",264,31
Sourav,Ganguly,308,297,"11,221",183,22
Shikhar,Dhawan,167,164,"6,793",143,17
Virender,Sehwag,241,235,"7,995",219,15
Yuvraj,Singh,301,275,"8,609",150,14
Rahul,Dravid,340,314,"10,768",153,12
Gautam,Gambhir,147,143,"5,238",150,11
MS,Dhoni,347,294,"10,599",183,9
Mohammad,Azharuddin,334,308,"9,378",153,7
KL,Rahul,75,70,"2,820",112,7
Ajay,Jadeja,196,179,"5,359",119,6
Navjot,Sidhu,136,127,"4,413",134,6
VVS,Laxman,86,83,"2,338",131,6
Shubman,Gill,44,44,"2,271",208,6
Suresh,Raina,226,194,"5,615",116,5
Shreyas,Iyer,59,54,"2,383",128,5
Kris,Srikkanth,146,145,"4,091",123,4
Ravi,Shastri,150,128,"3,108",109,4
